1044953624|"LOIS LANE #134 VF/NM SUPER LOIS, KANDOR"|$6.50
1044954717|"Nice old Quilt Hand Stitched Hand Quilted"|$71.00
1044955341|"Degrazia _86 Flower Girl Goebel Ornament NR"|$12.50
1044968142|"CINDERELLA 1984 CANADA GLASS (COKE-MCDONALDS)"|$5.95
1044968489|"FANTASTIC OLD 10'X13'PERSIAN ISFAHAN RUG-LLR!"|$150.00
1044970243|"Art Deco Farber Bros Krome Kraft-2 Dishes"|$18.00
1044982114|"All-Flash #23 DC June/1946 Glossy! NR!"|$124.95
1044988356|"Precious Moments Sugar Town Bus Stop"|$6.00
1044993053|"1988 Minature Beaded Garland Gold NRFB"|$4.95
1044995614|"HANDCRAFTED PATCHWORK~SAHARA STAR QUILT~F/Q"|$29.99
1044996076|"MEMORIES OF YESTERDAY HOLD IT YOU'RE SWELL"|$19.99
1044999719|"INDEPENDENDENCE HALL XMAS IN CITY DEPT 56"|$69.99
1045001090|"**NEW** 12-A Dozen Precious Moments FAN PULLS"|$9.95
1045003409|"HALLMARK COOKIE CUTTER RED SNOWMAN"|$1.99
1045005815|"Bowen Marvel Spiderman Green Goblin Statue"|$139.95
1045013883|"ARCHIE COMICS JUGHEADS TIME POLICE LOT"|$5.00
1045014297|"Cherished Teddies Angela,3rd angel in series"|$18.50
1045014900|"Anchor Hocking Fire King Blue Mosaic Snack Se"|$36.00
1045017350|"MINNESOTA VIKINGS NIKE KNIT WINTER HAT *NEW*"|$4.00
1045020620|"NP Glacier Gazette, retired, MIB, NR"|$36.00
1045021816|"5 DENNIS THE MENACE MARVEL COMICS"|$3.00
1045023344|"Precious Moments Tree Topper 1991 MIB"|$8.00
1045023664|"Stone Print Play Billboard - Robinson Crusoe"|$179.00
1045028393|"2000 BUSY BEE SHOPPER - EXTREMELY CUTE - LQQK"|$7.95
1045028764|"1994 looney tunes hallmark ornaments (5)"|$42.00
1045032333|"DEPT 56 HERITAGE SANTA MRS CLAUS NR MIB"|$9.99
1045033048|"Enesco 1990 HERE'S LOOKING AT YOU - Mouse/cam"|$20.00
1045034546|"Lefton Colonial Village Church #06351"|$9.99
1045034667|"SUPER MAN #1 COMIC,HB BOOK,STATUE,Fine!NR!"|$40.00
